PC_Time,UTC_Time,Latitude_NMEA,Lat_Direction,Longitude_NMEA,Lon_Direction,Fix,Satellites,Altitude_m
2026-05-22 23:54:01,145401.00,,,,,0,09,
2026-05-22 23:54:03,145403.00,3637.86675,N,12727.27661,E,1,10,43.5
2026-05-22 23:54:05,145405.00,3637.86681,N,12727.27680,E,1,10,43.1
2026-05-22 23:54:06,145406.00,3637.86692,N,12727.27701,E,1,11,42.5
2026-05-22 23:54:08,145408.00,3637.86681,N,12727.27686,E,1,11,43.0
2026-05-22 23:54:09,145409.00,3637.86673,N,12727.27673,E,1,12,43.4
2026-05-22 23:54:10,145410.00,3637.86662,N,12727.27652,E,1,12,44.0
2026-05-22 23:54:12,145412.00,3637.86634,N,12727.27602,E,1,12,45.5
2026-05-22 23:54:14,145414.00,3637.86615,N,12727.27577,E,1,12,46.2
2026-05-22 23:54:15,145415.00,3637.86613,N,12727.27569,E,1,12,46.4
2026-05-22 23:54:16,145416.00,3637.86608,N,12727.27565,E,1,12,46.7
2026-05-22 23:54:18,145418.00,3637.86580,N,12727.27505,E,1,12,48.4
2026-05-22 23:54:20,145420.00,3637.86534,N,12727.27428,E,1,12,50.8
2026-05-22 23:54:22,145422.00,3637.86552,N,12727.27473,E,1,12,49.7
2026-05-22 23:54:24,145424.00,3637.86543,N,12727.27468,E,1,12,49.9
2026-05-22 23:54:26,145426.00,3637.86528,N,12727.27451,E,1,12,50.6
2026-05-22 23:54:28,145428.00,3637.86518,N,12727.27462,E,1,12,50.4
2026-05-22 23:54:30,145430.00,3637.86513,N,12727.27466,E,1,12,50.4
2026-05-22 23:54:32,145432.00,3637.86510,N,12727.27473,E,1,12,50.2
2026-05-22 23:54:33,145433.00,3637.86508,N,12727.27472,E,1,12,50.3
2026-05-22 23:54:34,145434.00,3637.86489,N,12727.27429,E,1,12,51.5
2026-05-22 23:54:36,145436.00,3637.86474,N,12727.27388,E,1,12,52.6
2026-05-22 23:54:38,145438.00,3637.86465,N,12727.27374,E,1,12,53.0
2026-05-22 23:54:39,145439.00,3637.86465,N,12727.27375,E,1,12,53.0
2026-05-22 23:54:41,145441.00,3637.86461,N,12727.27365,E,1,12,53.4
2026-05-22 23:54:42,145442.00,3637.86458,N,12727.27362,E,1,12,53.5
2026-05-22 23:54:44,145444.00,3637.86455,N,12727.27356,E,1,12,53.6
2026-05-22 23:54:46,145446.00,3637.86455,N,12727.27353,E,1,12,53.7
2026-05-22 23:54:48,145448.00,3637.86453,N,12727.27351,E,1,12,53.7
2026-05-22 23:54:49,145449.00,3637.86453,N,12727.27349,E,1,12,53.7
2026-05-22 23:54:50,145450.00,3637.86452,N,12727.27347,E,1,12,53.8
2026-05-22 23:54:52,145452.00,3637.86449,N,12727.27343,E,1,12,53.9
2026-05-22 23:54:53,145453.00,3637.86448,N,12727.27341,E,1,12,54.0
2026-05-22 23:54:54,145454.00,3637.86449,N,12727.27341,E,1,12,54.0
2026-05-22 23:54:56,145456.00,3637.86449,N,12727.27339,E,1,12,54.1
2026-05-22 23:54:58,145458.00,3637.86449,N,12727.27326,E,1,12,54.6
2026-05-22 23:55:00,145500.00,3637.86435,N,12727.27304,E,1,12,55.7
2026-05-22 23:55:01,145501.00,3637.86438,N,12727.27307,E,1,12,55.5
2026-05-22 23:55:02,145502.00,3637.86436,N,12727.27319,E,1,12,55.6
2026-05-22 23:55:03,145503.00,3637.86429,N,12727.27317,E,1,12,55.7
2026-05-22 23:55:05,145505.00,3637.86397,N,12727.27250,E,1,12,55.9
2026-05-22 23:55:06,145506.00,3637.86408,N,12727.27188,E,1,12,56.0
2026-05-22 23:55:08,145508.00,3637.86459,N,12727.27044,E,1,12,55.9
2026-05-22 23:55:10,145510.00,3637.86496,N,12727.26927,E,1,12,55.5
2026-05-22 23:55:12,145512.00,3637.86562,N,12727.26810,E,1,12,55.0
2026-05-22 23:55:14,145514.00,3637.86649,N,12727.26679,E,1,12,54.9
2026-05-22 23:55:16,145516.00,3637.86713,N,12727.26580,E,1,12,54.5
2026-05-22 23:55:17,145517.00,3637.86736,N,12727.26515,E,1,12,54.8
2026-05-22 23:55:18,145518.00,3637.86772,N,12727.26453,E,1,12,54.7
2026-05-22 23:55:20,145520.00,3637.86850,N,12727.26311,E,1,12,55.3
2026-05-22 23:55:22,145522.00,3637.86903,N,12727.26197,E,1,12,55.1
2026-05-22 23:55:23,145523.00,3637.86932,N,12727.26154,E,1,12,55.1
2026-05-22 23:55:24,145524.00,3637.86986,N,12727.26104,E,1,12,54.9
2026-05-22 23:55:25,145525.00,3637.87039,N,12727.26038,E,1,12,55.0
2026-05-22 23:55:27,145527.00,3637.87116,N,12727.25914,E,1,12,54.9
2026-05-22 23:55:29,145529.00,3637.87172,N,12727.25806,E,1,12,54.8
2026-05-22 23:55:30,145530.00,3637.87222,N,12727.25760,E,1,12,54.7
2026-05-22 23:55:31,145531.00,3637.87277,N,12727.25707,E,1,12,54.9
2026-05-22 23:55:33,145533.00,3637.87355,N,12727.25571,E,1,12,54.8
2026-05-22 23:55:35,145535.00,3637.87409,N,12727.25461,E,1,12,54.7
2026-05-22 23:55:36,145536.00,3637.87447,N,12727.25406,E,1,12,54.6
2026-05-22 23:55:38,145538.00,3637.87505,N,12727.25293,E,1,12,54.7
2026-05-22 23:55:39,145539.00,3637.87505,N,12727.25246,E,1,12,54.7
2026-05-22 23:55:41,145541.00,3637.87482,N,12727.25147,E,1,12,54.9
2026-05-22 23:55:43,145543.00,3637.87515,N,12727.25103,E,1,12,54.7
2026-05-22 23:55:44,145544.00,3637.87531,N,12727.25089,E,1,12,54.4
2026-05-22 23:55:46,145546.00,3637.87550,N,12727.25072,E,1,12,53.9
2026-05-22 23:55:47,145547.00,3637.87551,N,12727.25069,E,1,12,54.0
2026-05-22 23:55:49,145549.00,3637.87569,N,12727.25051,E,1,12,53.7
2026-05-22 23:55:51,145551.00,3637.87579,N,12727.25051,E,1,12,53.6
2026-05-22 23:55:53,145553.00,3637.87614,N,12727.24974,E,1,12,54.1
2026-05-22 23:55:55,145555.00,3637.87639,N,12727.24890,E,1,12,54.2
2026-05-22 23:55:57,145557.00,3637.87685,N,12727.24796,E,1,12,54.6
2026-05-22 23:55:59,145559.00,3637.87720,N,12727.24682,E,1,12,54.5
2026-05-22 23:56:00,145600.00,3637.87735,N,12727.24644,E,1,12,54.0
2026-05-22 23:56:02,145602.00,3637.87741,N,12727.24639,E,1,12,53.6
